	P6	P1	P2	P3	P4	P5	TD1	L1	L2	L3	L4	L5	L6	Per1b	Per1a	N1
P6	0	0.590439086148596	0.496131508621354	0.555003955726084	0.498095621438293	0.923066642182983	0.487656519475111	0.65877174086415	0.732436984954383	0.68044823365018	0.849586485820173	0.636025394151806	0.779760313481866	0.684177814254133	0.787259618717781	1.0471975511966
P1	0.590439086148596	0	0.391481938296407	0.424245406386453	0.514047762584478	0.445843758614322	0.399755140088311	0.376600342097636	0.434090538846671	0.274328501353059	0.418559306307061	0.431493332635353	0.571501155785256	0.448041433190378	0.40124478966275	1.0471975511966
P2	0.496131508621354	0.391481938296407	0	0.255768070065097	0.352876012661905	0.550955407609281	0.242349698706301	0.652933577609394	0.697862861325578	0.517440735006872	0.478228365723464	0.684353301047982	0.781240710528372	0.695670683580968	0.67735017986234	1.0471975511966
P3	0.555003955726084	0.424245406386453	0.255768070065097	0	0.430254339678167	0.566863400386923	0.324068677138907	0.686499727300029	0.694977337919309	0.542840759521689	0.495461119861895	0.71496079852622	0.762059569674471	0.713786344377489	0.688060477314397	1.0471975511966
P4	0.498095621438293	0.514047762584478	0.352876012661905	0.430254339678167	0	0.671552785343526	0.304413115775761	0.76722737135584	0.833129887904408	0.675589286883291	0.610885344490734	0.782350899304205	0.897984623626679	0.833058749352928	0.819549490445632	1.0471975511966
P5	0.923066642182983	0.445843758614322	0.550955407609281	0.566863400386923	0.671552785343526	0	0.576703052674451	0.704851938327535	0.701658406505577	0.515462310786325	0.242633553263247	0.764186425885142	0.812100104082478	0.745902546411087	0.655459057350996	1.0471975511966
TD1	0.487656519475111	0.399755140088311	0.242349698706301	0.324068677138907	0.304413115775761	0.576703052674451	0	0.666479753719871	0.699178023818171	0.531596386964304	0.483254245734412	0.690890755807448	0.862744238086637	0.689247463379775	0.675689138978526	1.0471975511966
L1	0.65877174086415	0.376600342097636	0.652933577609394	0.686499727300029	0.76722737135584	0.704851938327535	0.666479753719871	0	0.211491314567884	0.26555996708379	0.651071575264635	0.168332453124854	0.371949527907474	0.213021942933259	0.229532427209301	1.0471975511966
L2	0.732436984954383	0.434090538846671	0.697862861325578	0.694977337919309	0.833129887904408	0.701658406505577	0.699178023818171	0.211491314567884	0	0.272385223800989	0.610985598354739	0.240226888855334	0.350839016737168	0.211796455934634	0.218796657802755	1.0471975511966
L3	0.68044823365018	0.274328501353059	0.517440735006872	0.542840759521689	0.675589286883291	0.515462310786325	0.531596386964304	0.26555996708379	0.272385223800989	0	0.427740062775298	0.307433435907565	0.479365941481777	0.292481559011765	0.237506818123138	1.0471975511966
L4	0.849586485820173	0.418559306307061	0.478228365723464	0.495461119861895	0.610885344490734	0.242633553263247	0.483254245734412	0.651071575264635	0.610985598354739	0.427740062775298	0	0.692974368848299	0.759009430251033	0.668785953522883	0.583925209217334	1.0471975511966
L5	0.636025394151806	0.431493332635353	0.684353301047982	0.71496079852622	0.782350899304205	0.764186425885142	0.690890755807448	0.168332453124854	0.240226888855334	0.307433435907565	0.692974368848299	0	0.387375539983485	0.199096040888249	0.315014278075949	1.0471975511966
L6	0.779760313481866	0.571501155785256	0.781240710528372	0.762059569674471	0.897984623626679	0.812100104082478	0.862744238086637	0.371949527907474	0.350839016737168	0.479365941481777	0.759009430251033	0.387375539983485	0	0.472907167961804	0.476416923758677	1.0471975511966
Per1b	0.684177814254133	0.448041433190378	0.695670683580968	0.713786344377489	0.833058749352928	0.745902546411087	0.689247463379775	0.213021942933259	0.211796455934634	0.292481559011765	0.668785953522883	0.199096040888249	0.472907167961804	0	0.230548936790067	1.0471975511966
Per1a	0.787259618717781	0.40124478966275	0.67735017986234	0.688060477314397	0.819549490445632	0.655459057350996	0.675689138978526	0.229532427209301	0.218796657802755	0.237506818123138	0.583925209217334	0.315014278075949	0.476416923758677	0.230548936790067	0	1.0471975511966
N1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0
