	Per1	TD1	Per2	TD2	Per3	TD3	TD4	L1	L2a	L2b	L3	L4	P1	P6	P2	P3	P4	P5	P7	P8	P9	L5	N1
Per1	0	0.191018120899767	0.288336335478281	0.277270800876509	0.183530608282536	0.186381762056538	0.35783990720531	0.181201414788007	0.221474019481008	0.153901383851614	0.211641187351805	0.158407896936586	0.303688047408017	0.127524858205516	0.27149611249634	0.279198371006763	0.241920314556969	0.152785941413561	0.156186892533494	0.226253375116948	0.257283700648153	0.222004331031789	1.0471975511966
TD1	0.191018120899767	0	0.210808125006009	0.232493101841969	0.279508254649432	0.130804447488807	0.283055025637315	0.219587448129163	0.237557535706004	0.18693932273603	0.129163154042825	0.25586124062332	0.28349030392461	0.21125970481236	0.255506682905116	0.268051468298218	0.231083945329411	0.176966045712622	0.146052187468184	0.171620448436515	0.241348550088378	0.233714677258929	1.0471975511966
Per2	0.288336335478281	0.210808125006009	0	0.179446955436726	0.294591520891526	0.254731686172053	0.269655127753518	0.202260435318029	0.326467109656911	0.265722742615854	0.299575246716808	0.314479071609189	0.211994891228921	0.288110681130481	0.264437100992312	0.20261151769925	0.181960715975982	0.212437013373354	0.198941542348058	0.165798905638376	0.19218704590076	0.229136808652177	1.0471975511966
TD2	0.277270800876509	0.232493101841969	0.179446955436726	0	0.292793169068823	0.227143806270918	0.280916175256482	0.194438777730118	0.298421103097928	0.217477357176779	0.286284652673765	0.316605354501858	0.211013926553557	0.305382061258516	0.252401845610936	0.234754654426694	0.189235565154147	0.234597955878922	0.195529282617258	0.145437484495753	0.221174175359901	0.227714982207405	1.0471975511966
Per3	0.183530608282536	0.279508254649432	0.294591520891526	0.292793169068823	0	0.301136268470469	0.415721949332461	0.203954963829255	0.34325960650176	0.229396470074011	0.313883013545161	0.227202568567508	0.338140911537469	0.199400740104482	0.293163084706588	0.24154947977653	0.218758750870249	0.229636787102103	0.253136176490734	0.285846629049294	0.245541175229534	0.266506923805183	1.0471975511966
TD3	0.186381762056538	0.130804447488807	0.254731686172053	0.227143806270918	0.301136268470469	0	0.287508356361958	0.234547288069781	0.159688316120842	0.175206383194848	0.12410227374738	0.272202278463689	0.295944842200912	0.253286443742356	0.287902811620024	0.316135969834032	0.270306264154153	0.221737526788962	0.153484473569333	0.17375475696007	0.293675088874849	0.217264199816928	1.0471975511966
TD4	0.35783990720531	0.283055025637315	0.269655127753518	0.280916175256482	0.415721949332461	0.287508356361958	0	0.311000374539247	0.269822158519338	0.284092572425531	0.307258201662665	0.336585160015021	0.266627045624489	0.370692228644757	0.246189655533535	0.30282339088309	0.266359257375077	0.275028055450575	0.254679670178686	0.248628575307686	0.257966187440664	0.273590881691624	1.0471975511966
L1	0.181201414788007	0.219587448129163	0.202260435318029	0.194438777730118	0.203954963829255	0.234547288069781	0.311000374539247	0	0.265010270601871	0.190220757285021	0.262199625572734	0.209079540980765	0.266967806662279	0.219336539630089	0.265501228183564	0.243000309084536	0.20395137879173	0.176493017143957	0.194974158191874	0.223821105555072	0.222563924784771	0.237314653879741	1.0471975511966
L2a	0.221474019481008	0.237557535706004	0.326467109656911	0.298421103097928	0.34325960650176	0.159688316120842	0.269822158519338	0.265010270601871	0	0.1873274925095	0.193575488724758	0.258703386471675	0.32416233591112	0.289927864142752	0.29841722883216	0.361389259557257	0.319142871340101	0.263229550279022	0.21433687846521	0.255428735221001	0.328170629945841	0.219327590411462	1.0471975511966
L2b	0.153901383851614	0.18693932273603	0.265722742615854	0.217477357176779	0.229396470074011	0.175206383194848	0.284092572425531	0.190220757285021	0.1873274925095	0	0.187922882929652	0.20647945727223	0.262877880005983	0.211710947255088	0.207106053092618	0.249468842980763	0.208447178130893	0.168348400307089	0.131001873720677	0.194924715676319	0.217363787364381	0.193217636213793	1.0471975511966
L3	0.211641187351805	0.129163154042825	0.299575246716808	0.286284652673765	0.313883013545161	0.12410227374738	0.307258201662665	0.262199625572734	0.193575488724758	0.187922882929652	0	0.297232266526819	0.358143750981134	0.269502995599692	0.318451082251602	0.349530154186913	0.305033455317636	0.251168688810197	0.203679241391516	0.245350264334921	0.320051721733382	0.275703765798514	1.0471975511966
L4	0.158407896936586	0.25586124062332	0.314479071609189	0.316605354501858	0.227202568567508	0.272202278463689	0.336585160015021	0.209079540980765	0.258703386471675	0.20647945727223	0.297232266526819	0	0.31372923176538	0.124651327813982	0.215649995591767	0.263669254997091	0.252998724670881	0.151171831521485	0.211364297902107	0.276895525664411	0.229790114585662	0.231616781958163	1.0471975511966
P1	0.303688047408017	0.28349030392461	0.211994891228921	0.211013926553557	0.338140911537469	0.295944842200912	0.266627045624489	0.266967806662279	0.32416233591112	0.262877880005983	0.358143750981134	0.31372923176538	0	0.316330119160537	0.19561201442771	0.197381268609953	0.170464227042954	0.223694158470968	0.200046351619949	0.169272650218689	0.190991351351669	0.180756811601639	1.0471975511966
P6	0.127524858205516	0.21125970481236	0.288110681130481	0.305382061258516	0.199400740104482	0.253286443742356	0.370692228644757	0.219336539630089	0.289927864142752	0.211710947255088	0.269502995599692	0.124651327813982	0.316330119160537	0	0.247208105462015	0.243973428766164	0.238663909552446	0.128196813614186	0.183080336796398	0.246345944557011	0.218714685589822	0.237377393190677	1.0471975511966
P2	0.27149611249634	0.255506682905116	0.264437100992312	0.252401845610936	0.293163084706588	0.287902811620024	0.246189655533535	0.265501228183564	0.29841722883216	0.207106053092618	0.318451082251602	0.215649995591767	0.19561201442771	0.247208105462015	0	0.167545380776293	0.163761815803697	0.179178054886212	0.194766496792537	0.218759740974205	0.133982268471992	0.174927375027129	1.0471975511966
