	Per1	Per2	Per3	Per4	L1	P1	P7	P2	P3	P4	P5	P6	P8	L2a	L2b	TD1	N1
Per1	0	0.188464849861103	0.427149950022882	0.465632708549789	0.621380151670676	0.546280754287584	0.708550309560026	0.407536721391797	0.376797035391972	0.791622857495154	0.380822446626385	0.643421319692915	0.504175155533911	0.407814700406046	0.553771967342904	0.402794252869494	1.0471975511966
Per2	0.188464849861103	0	0.444670658189883	0.408299117406207	0.669441931474355	0.615567131800251	0.727638479066784	0.427272936562716	0.42682372542214	0.864714591565896	0.385872347800547	0.623140429396316	0.566880137473886	0.469630286013107	0.6152861458766	0.463217798587576	1.0471975511966
Per3	0.427149950022882	0.444670658189883	0	0.510107543099984	0.623538976656432	0.61708073247445	0.626536505754152	0.457458568055633	0.440245920846192	0.786583709072024	0.487088997302121	0.552093056392441	0.578396662460423	0.512520953077322	0.602839696328798	0.513574251674623	1.0471975511966
Per4	0.465632708549789	0.408299117406207	0.510107543099984	0	0.775173325054696	0.755679377460717	0.872747219247653	0.523075992615339	0.588570330216057	0.99935607433362	0.563450368057969	0.697319200425839	0.699593619504179	0.629225074553619	0.783526708635716	0.668230528150271	1.0471975511966
L1	0.621380151670676	0.669441931474355	0.623538976656432	0.775173325054696	0	0.160356301192453	0.341352715796186	0.302368352195968	0.290659092944872	0.293211158867154	0.313975472236205	0.352320979365864	0.170243065248324	0.275540978454195	0.168332201933473	0.267373885496027	1.0471975511966
P1	0.546280754287584	0.615567131800251	0.61708073247445	0.755679377460717	0.160356301192453	0	0.402087704457967	0.286182940034633	0.240474248113142	0.303740189037954	0.280639013158521	0.414078461794709	0.0833005872207996	0.199370249869139	0.117399008056823	0.191184931202068	1.0471975511966
P7	0.708550309560026	0.727638479066784	0.626536505754152	0.872747219247653	0.341352715796186	0.402087704457967	0	0.451495961688551	0.433167284970373	0.372497429960072	0.446689358100509	0.296755889668445	0.431412754503016	0.481109781056475	0.349159935571569	0.456917899356569	1.0471975511966
P2	0.407536721391797	0.427272936562716	0.457458568055633	0.523075992615339	0.302368352195968	0.286182940034633	0.451495961688551	0	0.143064505196517	0.505696577750555	0.199678534466008	0.379335210110942	0.243698830418163	0.172656718024875	0.282770697106822	0.225173192747017	1.0471975511966
P3	0.376797035391972	0.42682372542214	0.440245920846192	0.588570330216057	0.290659092944872	0.240474248113142	0.433167284970373	0.143064505196517	0	0.469494739403733	0.177072350603826	0.401317295083292	0.197997739626853	0.124303259220666	0.230437136213684	0.161455298311437	1.0471975511966
P4	0.791622857495154	0.864714591565896	0.786583709072024	0.99935607433362	0.293211158867154	0.303740189037954	0.372497429960072	0.505696577750555	0.469494739403733	0	0.535086659085636	0.534281283703934	0.368605503804095	0.448558351409681	0.277018994935527	0.438951827711917	1.0471975511966
P5	0.380822446626385	0.385872347800547	0.487088997302121	0.563450368057969	0.313975472236205	0.280639013158521	0.446689358100509	0.199678534466008	0.177072350603826	0.535086659085636	0	0.359811930003304	0.239496415931344	0.220146072293309	0.295603187813761	0.19812016785906	1.0471975511966
P6	0.643421319692915	0.623140429396316	0.552093056392441	0.697319200425839	0.352320979365864	0.414078461794709	0.296755889668445	0.379335210110942	0.401317295083292	0.534281283703934	0.359811930003304	0	0.401757475807542	0.446759390909649	0.402383288054946	0.437154151024491	1.0471975511966
P8	0.504175155533911	0.566880137473886	0.578396662460423	0.699593619504179	0.170243065248324	0.0833005872207996	0.431412754503016	0.243698830418163	0.197997739626853	0.368605503804095	0.239496415931344	0.401757475807542	0	0.156301451332034	0.14972261066411	0.159902799497619	1.0471975511966
L2a	0.407814700406046	0.469630286013107	0.512520953077322	0.629225074553619	0.275540978454195	0.199370249869139	0.481109781056475	0.172656718024875	0.124303259220666	0.448558351409681	0.220146072293309	0.446759390909649	0.156301451332034	0	0.194110423663203	0.115633319325675	1.0471975511966
L2b	0.553771967342904	0.6152861458766	0.602839696328798	0.783526708635716	0.168332201933473	0.117399008056823	0.349159935571569	0.282770697106822	0.230437136213684	0.277018994935527	0.295603187813761	0.402383288054946	0.14972261066411	0.194110423663203	0	0.188531440671555	1.0471975511966
TD1	0.402794252869494	0.463217798587576	0.513574251674623	0.668230528150271	0.267373885496027	0.191184931202068	0.456917899356569	0.225173192747017	0.161455298311437	0.438951827711917	0.19812016785906	0.437154151024491	0.159902799497619	0.115633319325675	0.188531440671555	0	1.0471975511966
N1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0
