	Lun1	Lun2	Lun3-A	Plu1-A	Di1-A	Per1-A	Per3-A	Per2-A	Per4-A	Per5-A	Liv1-A	L1	L2	L3	L4	Ld1-A	Ld2-A	Ov1-A	Ov2-A	P2	P3	P4	P5	P6	P7	P8-A	P1	Pan1-A	Sp1-A	SB1-A	SB2-A	St1-A	St2-A	N1
Lun1	0	0.414019354528971	0.559690651634606	0.277728634612038	0.612712763074154	0.282814072701586	0.290766460571036	0.390451612951816	0.311501435987067	0.261805906930149	0.297764421670435	0.283289561875383	0.304722139116688	0.315975278341452	0.364528840680978	0.51158186410684	0.512350465603187	0.39674677989147	0.472883756906414	0.337454740689309	0.305776471257253	0.29587384614252	0.34636752567855	0.313111514220585	0.325463314729111	0.276843920943	0.290561918365183	0.285004107010585	0.24870284951582	0.235300364757849	0.292808888958858	0.30870775369463	0.247433282463143	1.0471975511966
Lun2	0.414019354528971	0	0.612378714176934	0.485691873322283	0.75325876562612	0.522105332419956	0.406394776560627	0.501339633704747	0.437699732896433	0.404776751718542	0.445694530053706	0.373368955977896	0.284607279225352	0.314711002294805	0.261387792168625	0.441634224597977	0.44031831506337	0.497061498697028	0.656699739387703	0.384615643569633	0.193366925398976	0.361464154148158	0.289341219948169	0.240377024436995	0.342686387196112	0.408873534700067	0.340246418633004	0.411609666372752	0.488274525210417	0.421204316486371	0.417275892649646	0.453397856368114	0.402868702285203	1.0471975511966
Lun3-A	0.559690651634606	0.612378714176934	0	0.550168586587377	0.580300076351287	0.584477766764475	0.677017741547528	0.563906291597986	0.55050046911586	0.59978425358074	0.590947181611985	0.527382121686957	0.578656166796639	0.59276354446179	0.574856098803729	0.638452237742283	0.5728643363177	0.674962743227545	0.591976814486007	0.505738753493537	0.598096629774611	0.600508666586377	0.45136090358042	0.617429871796804	0.484999704895085	0.68798267926289	0.548737883511355	0.68169487642007	0.558909833441222	0.649433305757804	0.614547916784501	0.652477853791232	0.658666809868778	1.0471975511966
Plu1-A	0.277728634612038	0.485691873322283	0.550168586587377	0	0.483901193177358	0.113119922642947	0.247146634722467	0.277049553051635	0.194128392398795	0.221080524425067	0.185667716341072	0.348088008799827	0.392758169558179	0.371132719594297	0.452078164189356	0.564028974690026	0.532942917222782	0.268485800336388	0.295262187377436	0.368059796096269	0.423084109500628	0.37995227161219	0.412236624185281	0.420703382479819	0.333189870865811	0.253175469483651	0.329542079725169	0.254352851119354	0.227317975953998	0.19888333836257	0.218238590550343	0.251597514583481	0.229979837339678	1.0471975511966
Di1-A	0.612712763074154	0.75325876562612	0.580300076351287	0.483901193177358	0	0.471516253754351	0.5723573490408	0.371934168057725	0.479141835547876	0.529496282593389	0.456837364026254	0.652142778854444	0.748313116622006	0.747205199444243	0.73120838205187	0.787657592331231	0.734170979613411	0.451572593135233	0.363739341537843	0.657517640027315	0.771838548552272	0.706655618985123	0.671990198185739	0.758370094904243	0.641715910167193	0.570898013090542	0.70117038666663	0.579152823375143	0.482284533073703	0.56215625183132	0.496245796398123	0.509995087326613	0.560507507115236	1.0471975511966
Per1-A	0.282814072701586	0.522105332419956	0.584477766764475	0.113119922642947	0.471516253754351	0	0.265409255926583	0.289382943598056	0.221666356031418	0.244876251262174	0.214973770215901	0.363117564212743	0.41244216647889	0.415325926109145	0.485360041364556	0.591921762694091	0.564500134223294	0.262967148008658	0.26956878519105	0.406332930462862	0.45798490080874	0.405173259173601	0.43760611262323	0.454529335946636	0.363965553231117	0.240954862526558	0.354526666732755	0.259927260988158	0.235864866255216	0.190577643052496	0.240632578343763	0.270478574582327	0.215150811715797	1.0471975511966
Per3-A	0.290766460571036	0.406394776560627	0.677017741547528	0.247146634722467	0.5723573490408	0.265409255926583	0	0.323044951686901	0.237453412353591	0.11612416482966	0.1782141434073	0.399736327696279	0.405262606334007	0.334030505379471	0.440488521322225	0.560241633575308	0.554063086300061	0.188977208572686	0.416152612398877	0.432076916963488	0.377949025998107	0.365823869457301	0.44966080842353	0.360212534137811	0.39607029990685	0.11351584910564	0.374515568201469	0.111925094157011	0.267433970774235	0.132528970518577	0.140194347235297	0.107964696862269	0.13613384456482	1.0471975511966
Per2-A	0.390451612951816	0.501339633704747	0.563906291597986	0.277049553051635	0.371934168057725	0.289382943598056	0.323044951686901	0	0.190162723098037	0.283289240148322	0.227119208506974	0.424585326601628	0.515187552915371	0.461662000498182	0.514201820168492	0.573878746455715	0.524808256957566	0.276606635901259	0.229986830846812	0.373119324060185	0.504411379470401	0.47482372273431	0.47204375291862	0.506836864792341	0.413861460090264	0.338678163799302	0.441027789594237	0.310026437128001	0.220941662067225	0.319630016258866	0.249639283048615	0.307236975732686	0.323510824040552	1.0471975511966
Per4-A	0.311501435987067	0.437699732896433	0.55050046911586	0.194128392398795	0.479141835547876	0.221666356031418	0.237453412353591	0.190162723098037	0	0.19278524852338	0.182133761274556	0.364158654918418	0.409861888058155	0.344320235997036	0.45837721334005	0.489474139849326	0.448062702645459	0.250035064905073	0.277122034010851	0.320332728666786	0.410036674696322	0.369266810063814	0.380131952452788	0.397968896320779	0.312382052867225	0.257356739461203	0.338539400675045	0.248325768910254	0.178326926745704	0.220073764073882	0.184715120215221	0.253397576787598	0.231544817749599	1.0471975511966
Per5-A	0.261805906930149	0.404776751718542	0.59978425358074	0.221080524425067	0.529496282593389	0.244876251262174	0.11612416482966	0.283289240148322	0.19278524852338	0	0.162350229721558	0.377295571631288	0.382421750229415	0.299784952976711	0.43873143577576	0.554731052821318	0.532173189298147	0.196325141637108	0.370896008847689	0.386642857435431	0.377302430819013	0.345399528129421	0.403561517580914	0.383114791892555	0.3884316958246	0.179019519847187	0.348501972603165	0.166206151011344	0.205551872768625	0.175708063597011	0.137310141492637	0.136067326688294	0.183875441265204	1.0471975511966
