	Lun1	Lun2a	Lun2b	Lun3a	Lun3b	Cal1a	Cal1b	Brn2b	Brn1a	Brn1b	Brn1c	Brn2a	P1	P2	P3	P4	P5	N1
Lun1	0	0.268734383418165	0.110776332399243	0.262028847642	0.146852268084795	0.388224383620532	0.362763507801231	0.341673426033644	0.355157403625054	0.322838213053306	0.439689631044467	0.389836552097805	0.302867225008454	0.350976555214343	0.516256559312675	0.535613280227527	0.631164487260484	1.0471975511966
Lun2a	0.268734383418165	0	0.288040802967761	0.288399573986754	0.177887600714855	0.283643277553382	0.251474767233934	0.257005312445385	0.296824462308389	0.234125227372379	0.312533347763622	0.381398330863662	0.148390370993017	0.199231849822299	0.32026565690745	0.519430044586131	0.57545047891672	1.0471975511966
Lun2b	0.110776332399243	0.288040802967761	0	0.29997579133073	0.171124336004655	0.412491263819778	0.377602599051633	0.360271672269964	0.387228831257844	0.343169317510514	0.468077286166501	0.420196538533821	0.325397039850876	0.365798327591265	0.554057752346332	0.568761482600319	0.663738974898916	1.0471975511966
Lun3a	0.262028847642	0.288399573986754	0.29997579133073	0	0.218166019657527	0.40953235621102	0.386216292837915	0.344057297357779	0.387973656242428	0.326025292555319	0.418331862834285	0.445623896216378	0.304045070701314	0.364708277985389	0.469889004187876	0.356075892880944	0.416597810484198	1.0471975511966
Lun3b	0.146852268084795	0.177887600714855	0.171124336004655	0.218166019657527	0	0.30985437191601	0.277838976873219	0.27794742369133	0.303784447991726	0.248762351660116	0.36444981358824	0.341018308789305	0.235859530107436	0.286402912040242	0.429524339985275	0.509247136830648	0.577603766123539	1.0471975511966
Cal1a	0.388224383620532	0.283643277553382	0.412491263819778	0.40953235621102	0.30985437191601	0	0.0742540822855144	0.141115880698271	0.149751766336221	0.124711197362062	0.111817200846564	0.268916080945605	0.237894704513577	0.216642285563031	0.253520898821664	0.647482472385892	0.657457850522846	1.0471975511966
Cal1b	0.362763507801231	0.251474767233934	0.377602599051633	0.386216292837915	0.277838976873219	0.0742540822855144	0	0.11547665305738	0.14494063903421	0.0909974737090252	0.139863284556397	0.303275388847408	0.21315247835341	0.209594378504708	0.286159860543708	0.63663116084789	0.658405491823362	1.0471975511966
Brn2b	0.341673426033644	0.257005312445385	0.360271672269964	0.344057297357779	0.27794742369133	0.141115880698271	0.11547665305738	0	0.122626045088965	0.0561668870235928	0.130023311665655	0.320717447391372	0.168687462387762	0.205220011540188	0.296655054248863	0.602504717228611	0.619596856314589	1.0471975511966
Brn1a	0.355157403625054	0.296824462308389	0.387228831257844	0.387973656242428	0.303784447991726	0.149751766336221	0.14494063903421	0.122626045088965	0	0.119373591216013	0.168790029405291	0.293839146427674	0.241162309785689	0.269541197221024	0.327819099431753	0.672133766802539	0.69300963472892	1.0471975511966
Brn1b	0.322838213053306	0.234125227372379	0.343169317510514	0.326025292555319	0.248762351660116	0.124711197362062	0.0909974737090252	0.0561668870235928	0.119373591216013	0	0.143138260755105	0.314201702153605	0.172028573006306	0.197357361140702	0.297375126986861	0.591547815504286	0.615860213635442	1.0471975511966
Brn1c	0.439689631044467	0.312533347763622	0.468077286166501	0.418331862834285	0.36444981358824	0.111817200846564	0.139863284556397	0.130023311665655	0.168790029405291	0.143138260755105	0	0.314887319483606	0.233450406445394	0.219871251736629	0.208262236642608	0.634396333874743	0.627216561507481	1.0471975511966
Brn2a	0.389836552097805	0.381398330863662	0.420196538533821	0.445623896216378	0.341018308789305	0.268916080945605	0.303275388847408	0.320717447391372	0.293839146427674	0.314201702153605	0.314887319483606	0	0.377198319663749	0.347374041984656	0.37635178200342	0.691996104234715	0.708794575350712	1.0471975511966
P1	0.302867225008454	0.148390370993017	0.325397039850876	0.304045070701314	0.235859530107436	0.237894704513577	0.21315247835341	0.168687462387762	0.241162309785689	0.172028573006306	0.233450406445394	0.377198319663749	0	0.165528936704449	0.274801934253396	0.525376879476662	0.557192134266614	1.0471975511966
P2	0.350976555214343	0.199231849822299	0.365798327591265	0.364708277985389	0.286402912040242	0.216642285563031	0.209594378504708	0.205220011540188	0.269541197221024	0.197357361140702	0.219871251736629	0.347374041984656	0.165528936704449	0	0.24075394615672	0.540207069577194	0.586902711581888	1.0471975511966
P3	0.516256559312675	0.32026565690745	0.554057752346332	0.469889004187876	0.429524339985275	0.253520898821664	0.286159860543708	0.296655054248863	0.327819099431753	0.297375126986861	0.208262236642608	0.37635178200342	0.274801934253396	0.24075394615672	0	0.603545301651773	0.585315193012776	1.0471975511966
P4	0.535613280227527	0.519430044586131	0.568761482600319	0.356075892880944	0.509247136830648	0.647482472385892	0.63663116084789	0.602504717228611	0.672133766802539	0.591547815504286	0.634396333874743	0.691996104234715	0.525376879476662	0.540207069577194	0.603545301651773	0	0.227896788069983	1.0471975511966
P5	0.631164487260484	0.57545047891672	0.663738974898916	0.416597810484198	0.577603766123539	0.657457850522846	0.658405491823362	0.619596856314589	0.69300963472892	0.615860213635442	0.627216561507481	0.708794575350712	0.557192134266614	0.586902711581888	0.585315193012776	0.227896788069983	0	1.0471975511966
N1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0
