	Per21	Per7	Per8	Per9	Per20	Per13	Per18	Per17	Per5	Per10	Per11	Per1	Per12	Per6	Per14	Per2	Per3	Per4	Per15	Per16	Per19	Liv1	L6	L5	TD3	TD2	TD1	L1	L2	TD4	L3	L4	PerOv1	P1	P6	P7	P8	P2	P3	P9	P4	P5	N1
Per21	0	0.491397580376591	0.45156450284321	0.507912605209357	0.536314216012651	0.719937337215148	0.515023766147175	0.746876055313097	0.554868220448134	0.479894731769627	0.509974993682093	0.425886043568714	0.442445994614955	0.478981298362604	0.522219939160073	0.37804629069131	0.535923855575879	0.509869112173417	0.531861751077563	0.494773845098098	0.485454750597248	0.441923605433689	0.673425864742365	0.571355445572468	0.492546968508627	0.454998701962382	0.499184238585388	0.426693056769911	0.599946209145207	0.517476795456	0.494672373126345	0.4245388015094	0.444192156794727	0.385908030740951	0.416609966045058	0.475155760684313	0.486676803382396	0.497407296524547	0.421852912558758	0.618343853996043	0.389285847542634	0.458192664622499	1.0471975511966
Per7	0.491397580376591	0	0.184295880776616	0.347818801597118	0.306242718353915	0.460723192045247	0.216132727727689	0.585686085913044	0.249528902004529	0.288276774260633	0.175830222385487	0.356467015886205	0.329665094547451	0.193501079614072	0.311765235578148	0.271013292774209	0.252517262678853	0.208300658305934	0.235913536493006	0.247658464608792	0.132733017932674	0.300983053830746	0.40003987884306	0.315077489161783	0.448207311960561	0.204698029622894	0.280739126105189	0.216392580578726	0.241902832290764	0.461252513495546	0.210835710877051	0.264904957922531	0.223244158449358	0.43158177769969	0.24794514724755	0.240091272371985	0.251384790091137	0.325454718128797	0.279811828240589	0.598399724126568	0.245804857347183	0.231757017034728	1.0471975511966
Per8	0.45156450284321	0.184295880776616	0	0.312736753038632	0.240165588352265	0.495006288392601	0.195882784009753	0.599756454545319	0.200804177831222	0.142050710821872	0.19533816447417	0.236792398733658	0.226243915031431	0.166554427126405	0.272780174238837	0.23928832409702	0.168697415945498	0.127302095958586	0.283928079705061	0.244492093835062	0.209013441525059	0.212393332571108	0.422683649964182	0.256335635329731	0.392334172374389	0.127445036055146	0.236486043729016	0.115550542070816	0.274641708323059	0.368761605721067	0.118015978523164	0.111940508759811	0.0879987927532915	0.389666721678564	0.135318373085654	0.132644234994411	0.17961300255367	0.19910934690117	0.173439981260009	0.530556145531147	0.13122212325302	0.158075423485793	1.0471975511966
Per9	0.507912605209357	0.347818801597118	0.312736753038632	0	0.33890360444548	0.47735805369679	0.370583027345715	0.59237968078241	0.337552693839423	0.330062225982675	0.304908773310691	0.402677382791445	0.236976299914278	0.291575356249949	0.267873850483523	0.295032247982689	0.377770043444227	0.302580899648361	0.351700622358297	0.335389982934194	0.351092184318848	0.350929684356174	0.386798850809677	0.309731711670548	0.326616793048113	0.361575405643895	0.349424912208996	0.307454976559575	0.34180986674269	0.428802393827986	0.366820454991577	0.35004606699983	0.353082761902839	0.357945244718507	0.33756223490989	0.357482775773844	0.377200263544984	0.38585314660671	0.372666485905952	0.509522266694053	0.313752611796284	0.354678233699688	1.0471975511966
Per20	0.536314216012651	0.306242718353915	0.240165588352265	0.33890360444548	0	0.465569323247951	0.237626594256016	0.466150828960648	0.204657177405691	0.223438750178146	0.266929657022755	0.401523587978416	0.251451722353942	0.25475547298834	0.334518746319947	0.296572058935973	0.286982395373878	0.208049371225137	0.228956889090723	0.289956860104777	0.303073541156736	0.382673566341002	0.326200696049669	0.234762286934762	0.341322381944764	0.268424030527867	0.386592623963818	0.244762927582732	0.338271995598288	0.48754246189678	0.260891187237556	0.261827122708065	0.276071100052187	0.463320544028472	0.271810132792226	0.321698758739859	0.339102639513393	0.311848091098763	0.358906161963757	0.42917286918711	0.313637071243878	0.280948907384903	1.0471975511966
Per13	0.719937337215148	0.460723192045247	0.495006288392601	0.47735805369679	0.465569323247951	0	0.427509992928633	0.595235436141155	0.447901752980497	0.516268937771064	0.475037092932334	0.676369509255511	0.534958833865158	0.459661061764017	0.323212647009739	0.560707440356533	0.47055690876901	0.455212628466194	0.447214978844323	0.317121272882406	0.419397744015261	0.512450450444989	0.398020880494549	0.346369781158611	0.575412440957413	0.546789491511087	0.457777334318484	0.514243064132127	0.397631677163713	0.602567434615546	0.456885397493503	0.54502650988256	0.492062538542794	0.630585797440237	0.506173712144928	0.520840071153313	0.489177069048369	0.570845767744927	0.543677662182485	0.705529699676887	0.48448502561769	0.486189453812387	1.0471975511966
Per18	0.515023766147175	0.216132727727689	0.195882784009753	0.370583027345715	0.237626594256016	0.427509992928633	0	0.528845448672156	0.137965483672399	0.227140391306504	0.233017534089429	0.363073983703505	0.326307174644849	0.227625980644236	0.305885436799723	0.257708709799426	0.206704456056386	0.153015080609859	0.212359586653473	0.237857288587639	0.22729744377424	0.296061025600521	0.36888295102082	0.24759011200908	0.454898647777716	0.188765015820957	0.254418922432574	0.202451280056314	0.251627281744509	0.477552347387737	0.139975215848708	0.234769505468143	0.188354830124198	0.428805767363345	0.237833560914916	0.238036112625783	0.216586108924214	0.282995819412059	0.278539298992214	0.542575207337498	0.254940782279347	0.230358328700852	1.0471975511966
Per17	0.746876055313097	0.585686085913044	0.599756454545319	0.59237968078241	0.466150828960648	0.595235436141155	0.528845448672156	0	0.518052453694396	0.626647590334596	0.592839579768184	0.705416252288889	0.601891928673605	0.578876351582752	0.589116931328744	0.583418938256894	0.63361689446252	0.538691441108569	0.451858880267078	0.533224076542312	0.551589552568106	0.652328883501375	0.414528286661687	0.501943569935332	0.497175929217763	0.573457206509233	0.62144288373322	0.561169824433057	0.586825386096107	0.817568675353444	0.59257504347708	0.6262653093323	0.61057858733253	0.752810263348431	0.627954590931211	0.679289697126427	0.636106794033559	0.648939315938692	0.668861969147869	0.403306263371058	0.646847666773495	0.609481730733914	1.0471975511966
Per5	0.554868220448134	0.249528902004529	0.200804177831222	0.337552693839423	0.204657177405691	0.447901752980497	0.137965483672399	0.518052453694396	0	0.200645109307772	0.262800574427007	0.354190346622149	0.30248242799667	0.232601088886655	0.31486408268928	0.276141434660083	0.191963065941283	0.150497281158353	0.245016412719602	0.275668983122304	0.282455598937999	0.314730606528382	0.365357065927545	0.245113992327073	0.448483638023593	0.19791713109024	0.284278555114051	0.218223552276821	0.257773287404532	0.484978242102473	0.169541579674185	0.242017677215343	0.209066744858542	0.44827784966363	0.246364627632119	0.244613249799413	0.244398203843304	0.262950979670027	0.294782596923384	0.501219882747604	0.278243281262237	0.233559345838347	1.0471975511966
Per10	0.479894731769627	0.288276774260633	0.142050710821872	0.330062225982675	0.223438750178146	0.516268937771064	0.227140391306504	0.626647590334596	0.200645109307772	0	0.255605610542761	0.257350898261253	0.226505033135792	0.215358109162178	0.306723621498046	0.263411707763932	0.192819373115375	0.18133731417354	0.314037948798544	0.305398901799	0.313860074332388	0.260001945267982	0.450765319957681	0.290345507841558	0.410771879969922	0.196294381585161	0.28826660591901	0.186578762651152	0.313328581676777	0.376544181989938	0.189682994588692	0.143925766686878	0.154753802249937	0.400212245986423	0.167980517781343	0.176143904030875	0.233235506394213	0.183682472346242	0.215380483347697	0.511479154933626	0.192571052190812	0.199073705728787	1.0471975511966
